0  0.707107
0.154625  0.702893
0.309251  0.690401
0.463876  0.670073
0.618501  0.642615
0.773126  0.608959
0.927752  0.570208
1.08238  0.527578
1.237  0.482335
1.39163  0.435731
1.54625  0.388953
1.70088  0.34307
1.8555  0.299004
2.01013  0.257502
2.16475  0.219125
2.31938  0.184251
2.474  0.153086
2.62863  0.125681
2.78325  0.101955
2.93788  0.0817241
3.09251  0.0647272
3.24713  0.0506529
3.40176  0.0391625
3.55638  0.0299101
3.71101  0.022558
3.86563  0.0167881
4.02026  0.0123094
4.17488  0.00886155
4.32951  0.00621532
4.48413  0.00417095
4.63876  0.00255405
4.79338  0.00121048
-4.94801  1.07585e-30
-4.79338  0.00121048
-4.63876  0.00255405
-4.48413  0.00417095
-4.32951  0.00621532
-4.17488  0.00886155
-4.02026  0.0123094
-3.86563  0.0167881
-3.71101  0.022558
-3.55638  0.0299101
-3.40176  0.0391625
-3.24713  0.0506529
-3.09251  0.0647272
-2.93788  0.0817241
-2.78325  0.101955
-2.62863  0.125681
-2.474  0.153086
-2.31938  0.184251
-2.16475  0.219125
-2.01013  0.257502
-1.8555  0.299004
-1.70088  0.34307
-1.54625  0.388953
-1.39163  0.435731
-1.237  0.482335
-1.08238  0.527578
-0.927752  0.570208
-0.773126  0.608959
-0.618501  0.642615
-0.463876  0.670073
-0.309251  0.690401
-0.154625  0.702893
