0 1.23796
0.103084 1.26881
0.206167 1.23738
0.309251 1.27005
0.412334 1.23531
0.515418 1.27326
0.618501 1.23035
0.721585 1.28123
0.824668 1.21654
0.927752 1.30478
1.03084 0.265266
1.13392 -0.0642402
1.237 0.0330704
1.34009 -0.021213
1.44317 0.0151096
1.54625 -0.0114321
1.64934 0.00899031
1.75242 -0.00725835
1.8555 0.00596915
1.95859 -0.0049732
2.06167 0.00418044
2.16475 -0.00353345
2.26784 0.00299387
2.37092 -0.00253509
2.474 0.00213802
2.57709 -0.00178856
2.68017 0.001476
2.78325 -0.001192
2.88634 0.000929846
2.98942 -0.000684024
3.09251 0.000449823
3.19559 -0.000223086
-3.29867 0
-3.19559 -0.000223086
-3.09251 0.000449823
-2.98942 -0.000684024
-2.88634 0.000929846
-2.78325 -0.001192
-2.68017 0.001476
-2.57709 -0.00178856
-2.474 0.00213802
-2.37092 -0.00253509
-2.26784 0.00299387
-2.16475 -0.00353345
-2.06167 0.00418044
-1.95859 -0.0049732
-1.8555 0.00596915
-1.75242 -0.00725835
-1.64934 0.00899031
-1.54625 -0.0114321
-1.44317 0.0151096
-1.34009 -0.021213
-1.237 0.0330704
-1.13392 -0.0642402
-1.03084 0.265266
-0.927752 1.30478
-0.824668 1.21654
-0.721585 1.28123
-0.618501 1.23035
-0.515418 1.27326
-0.412334 1.23531
-0.309251 1.27005
-0.206167 1.23738
-0.103084 1.26881
